#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xwallpaper,"sets the wallpaper."
,xclip,"allows for copying and pasting from the command line."
,xcape,"gives the special escape/super mappings of LARBS."
,sxhkd,"gives universal keyboard shortcuts."
,arandr,"allows the user to customize monitor arrangements."
,brightnessctl,"enables changing screen brightness levels."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,alsa-utils,"is required for bluetooth."
,pulseaudio-bluetooth,"is required for bluetooth."
,bluez,"is required for bluetooth."
,bluez-utils,"is required for bluetooth."
,noto-fonts-cjk,"contains asian fonts."
,ttf-font-awesome,"is an emoji font."
,ttf-joypixels,"is an emoji font."
,dunst,"is a suckless notification system."
,libnotify,"allows desktop notifications."
,picom,"is for transparency and removing screen-tearing."
,reflector,"is for updating pacman mirrors."
,ntfs-3g,"allows accessing NTFS partitions."
,cifs-utils,"allows accessing samba shares."
,android-file-transfer,"allows accessing android devices."
,p7zip,"is for extracting and archiving."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,openssh,"allows for ssh."
,rsync,"for syncing files."
,zsh,"is an shell."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,dash,"for faster /bin/sh scripts."
A,dashbinsh,"adds dash to /bin/sh."
,fzf,"is a fuzzy finder tool."
,bc,"is used for a dropdown calculator."
,htop,"is a graphical and colorful system monitor."
A,gotop,"is another graphical and colorful system monitor."
,neofetch,"displays system info in the terminal."
,mpv,"is the patrician's choice video player."
,sxiv,"is a minimalist image viewer."
,pcmanfm,"is a graphical file manager."
,gvfs,"allows pcmanfm to show other drives."
A,lf,"is an extensive terminal file manager that everyone likes."
,arc-gtk-theme,"is the GTK theme."
,breeze-icons,"is the GTK icon theme."
,maim,"can take quick screenshots at your request."
,mediainfo,"shows audio and video information."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,vidir,"is a terminal bulkrename utility,"
A,devour,"allows for applications to swallow the terminal."
G,git://git.holdenthomas.xyz/dwmblocks.git,"serves as the modular status bar."
G,git://git.holdenthomas.xyz/dmenu.git,"runs commands and provides a UI for selection."
G,git://git.holdenthomas.xyz/st.git,"is my custom build of suckless's terminal emulator."
G,git://git.holdenthomas.xyz/dwm.git,"is the window manager."
